ObservationID	LocationID	Date	Count	Complete
RHOE_11.07_2006_1	RHOE_11.07	2006-01-15	0	1
RHOE_11.07_2006_11	RHOE_11.07	2006-11-15	0	1
RHOE_11.07_2006_12	RHOE_11.07	2006-12-15	0	1
RHOE_11.07_2006_2	RHOE_11.07	2006-02-15	0	1
RHOE_11.07_2007_1	RHOE_11.07	2007-01-15	0	1
RHOE_11.07_2007_11	RHOE_11.07	2007-11-15	0	1
RHOE_11.07_2007_12	RHOE_11.07	2007-12-15	0	1
RHOE_11.07_2007_2	RHOE_11.07	2007-02-15	0	1
RHOE_11.07_2008_1	RHOE_11.07	2008-01-15	0	1
RHOE_11.07_2008_11	RHOE_11.07	2008-11-15	0	1
RHOE_11.07_2008_12	RHOE_11.07	2008-12-15	0	1
RHOE_11.07_2008_2	RHOE_11.07	2008-02-15	0	1
RHOE_11.07_2009_1	RHOE_11.07	2009-01-15	0	1
RHOE_11.07_2009_11	RHOE_11.07	2009-11-15	0	1
RHOE_11.07_2009_12	RHOE_11.07	2009-12-15	0	1
RHOE_11.07_2009_2	RHOE_11.07	2009-02-15	0	1
RHOE_11.07_2010_1	RHOE_11.07	2010-01-15	5	1
RHOE_11.07_2010_11	RHOE_11.07	2010-11-15	0	1
RHOE_11.07_2010_12	RHOE_11.07	2010-12-15	0	1
RHOE_11.07_2010_2	RHOE_11.07	2010-02-15	0	1
RHOE_11.07_2011_1	RHOE_11.07	2011-01-15	0	1
RHOE_11.07_2011_11	RHOE_11.07	2011-11-15	0	1
RHOE_11.07_2011_12	RHOE_11.07	2011-12-15	0	1
RHOE_11.07_2011_2	RHOE_11.07	2011-02-15	0	1
RHOE_11.07_2012_1	RHOE_11.07	2012-01-15	0	1
RHOE_11.07_2012_11	RHOE_11.07	2012-11-18	0	1
RHOE_11.07_2012_12	RHOE_11.07	2012-12-16	0	1
RHOE_11.07_2012_2	RHOE_11.07	2012-02-15	0	1
RHOE_11.07_2013_1	RHOE_11.07	2013-01-13	0	1
RHOE_11.07_2013_11	RHOE_11.07	2013-11-17	0	1
RHOE_11.07_2013_12	RHOE_11.07	2013-12-16	0	1
RHOE_11.07_2013_2	RHOE_11.07	2013-02-18	0	1
RHOE_11.07_2014_1	RHOE_11.07	2014-01-17	0	1
RHOE_11.07_2014_2	RHOE_11.07	2014-02-15	0	1
RHOE_13.04_1995_11	RHOE_13.04	1995-11-15	21	1
RHOE_13.04_1995_12	RHOE_13.04	1995-12-15	0	1
RHOE_13.04_1996_1	RHOE_13.04	1996-01-15	0	1
RHOE_13.04_1996_2	RHOE_13.04	1996-02-15	0	1
RHOE_13.04_1997_1	RHOE_13.04	1997-01-15	0	1
RHOE_13.04_1998_1	RHOE_13.04	1998-01-15	0	1
RHOE_13.04_1999_1	RHOE_13.04	1999-01-15	0	1
RHOE_13.04_1999_11	RHOE_13.04	1999-11-15	2	1
RHOE_13.04_1999_12	RHOE_13.04	1999-12-15	0	1
RHOE_13.04_2000_1	RHOE_13.04	2000-01-15	0	1
RHOE_13.04_2000_11	RHOE_13.04	2000-11-15	10	1
RHOE_13.04_2000_12	RHOE_13.04	2000-12-15	0	1
RHOE_13.04_2000_2	RHOE_13.04	2000-02-15	5	1
RHOE_13.04_2001_1	RHOE_13.04	2001-01-15	9	1
RHOE_13.04_2001_2	RHOE_13.04	2001-02-15	2	1
RHOE_13.04_2003_1	RHOE_13.04	2003-01-15	0	1
RHOE_13.04_2004_1	RHOE_13.04	2004-01-15	2	1
RHOE_13.04_2004_11	RHOE_13.04	2004-11-15	16	1
RHOE_13.04_2004_12	RHOE_13.04	2004-12-15	3	1
RHOE_13.04_2005_1	RHOE_13.04	2005-01-15	1	1
RHOE_13.04_2005_11	RHOE_13.04	2005-11-15	55	1
RHOE_13.04_2005_12	RHOE_13.04	2005-12-15	10	1
RHOE_13.04_2005_2	RHOE_13.04	2005-02-15	1	1
RHOE_13.04_2006_1	RHOE_13.04	2006-01-15	0	1
RHOE_13.04_2006_11	RHOE_13.04	2006-11-15	13	1
RHOE_13.04_2006_12	RHOE_13.04	2006-12-15	5	1
RHOE_13.04_2006_2	RHOE_13.04	2006-02-15	0	1
RHOE_13.04_2007_1	RHOE_13.04	2007-01-15	0	1
RHOE_13.04_2007_11	RHOE_13.04	2007-11-15	27	1
RHOE_13.04_2007_12	RHOE_13.04	2007-12-15	15	1
RHOE_13.04_2007_2	RHOE_13.04	2007-02-15	0	1
RHOE_13.04_2008_1	RHOE_13.04	2008-01-15	2	1
RHOE_13.04_2008_11	RHOE_13.04	2008-11-15	77	1
RHOE_13.04_2008_12	RHOE_13.04	2008-12-15	7	1
RHOE_13.04_2008_2	RHOE_13.04	2008-02-15	0	1
RHOE_13.04_2009_1	RHOE_13.04	2009-01-15	0	1
RHOE_13.04_2009_11	RHOE_13.04	2009-11-15	31	1
RHOE_13.04_2009_12	RHOE_13.04	2009-12-15	1	1
RHOE_13.04_2009_2	RHOE_13.04	2009-02-15	0	1
RHOE_13.04_2010_1	RHOE_13.04	2010-01-15	0	1
RHOE_13.04_2010_11	RHOE_13.04	2010-11-15	36	1
RHOE_13.04_2010_12	RHOE_13.04	2010-12-15	0	1
RHOE_13.04_2010_2	RHOE_13.04	2010-02-15	0	1
RHOE_13.04_2011_1	RHOE_13.04	2011-01-15	0	1
RHOE_13.04_2011_11	RHOE_13.04	2011-11-15	0	1
RHOE_13.04_2011_12	RHOE_13.04	2011-12-15	7	1
RHOE_13.04_2011_2	RHOE_13.04	2011-02-15	1	1
RHOE_13.04_2012_1	RHOE_13.04	2012-01-15	0	1
RHOE_13.04_2012_11	RHOE_13.04	2012-11-18	5	1
RHOE_13.04_2012_12	RHOE_13.04	2012-12-16	0	1
RHOE_13.04_2012_2	RHOE_13.04	2012-02-15	0	1
RHOE_13.04_2013_1	RHOE_13.04	2013-01-13	0	1
RHOE_13.04_2013_11	RHOE_13.04	2013-11-17	1	1
RHOE_13.04_2013_12	RHOE_13.04	2013-12-15	3	1
RHOE_13.04_2013_2	RHOE_13.04	2013-02-17	0	1
RHOE_13.04_2014_1	RHOE_13.04	2014-01-19	2	1
RHOE_13.04_2014_2	RHOE_13.04	2014-02-16	2	1
RHOE_14.01_1995_1	RHOE_14.01	1995-01-15	0	1
RHOE_14.01_1996_1	RHOE_14.01	1996-01-15	0	1
RHOE_14.01_1996_11	RHOE_14.01	1996-11-15	0	1
RHOE_14.01_1996_12	RHOE_14.01	1996-12-15	0	1
RHOE_14.01_1997_1	RHOE_14.01	1997-01-15	0	1
RHOE_14.01_1997_11	RHOE_14.01	1997-11-15	0	1
RHOE_14.01_1997_12	RHOE_14.01	1997-12-15	0	1
RHOE_14.01_1997_2	RHOE_14.01	1997-02-15	0	1
RHOE_14.01_1998_1	RHOE_14.01	1998-01-15	0	1
RHOE_14.01_1998_11	RHOE_14.01	1998-11-15	0	1
RHOE_14.01_1998_12	RHOE_14.01	1998-12-15	0	1
RHOE_14.01_1998_2	RHOE_14.01	1998-02-15	0	1
RHOE_14.01_1999_1	RHOE_14.01	1999-01-15	0	1
RHOE_14.01_1999_11	RHOE_14.01	1999-11-15	2	1
RHOE_14.01_1999_12	RHOE_14.01	1999-12-15	0	1
RHOE_14.01_1999_2	RHOE_14.01	1999-02-15	0	1
RHOE_14.01_2000_1	RHOE_14.01	2000-01-15	0	1
RHOE_14.01_2000_11	RHOE_14.01	2000-11-15	1	1
RHOE_14.01_2000_12	RHOE_14.01	2000-12-15	0	1
RHOE_14.01_2000_2	RHOE_14.01	2000-02-15	0	1
RHOE_14.01_2001_1	RHOE_14.01	2001-01-15	2	1
RHOE_14.01_2001_11	RHOE_14.01	2001-11-15	1	1
RHOE_14.01_2001_12	RHOE_14.01	2001-12-15	0	1
RHOE_14.01_2001_2	RHOE_14.01	2001-02-15	0	1
RHOE_14.01_2002_1	RHOE_14.01	2002-01-15	0	1
RHOE_14.01_2002_11	RHOE_14.01	2002-11-15	1	1
RHOE_14.01_2002_12	RHOE_14.01	2002-12-15	0	1
RHOE_14.01_2002_2	RHOE_14.01	2002-02-15	0	1
RHOE_14.01_2003_1	RHOE_14.01	2003-01-15	0	1
RHOE_14.01_2003_11	RHOE_14.01	2003-11-15	0	1
RHOE_14.01_2003_12	RHOE_14.01	2003-12-15	0	1
RHOE_14.01_2003_2	RHOE_14.01	2003-02-15	0	1
RHOE_14.01_2004_1	RHOE_14.01	2004-01-15	0	1
RHOE_14.01_2004_11	RHOE_14.01	2004-11-15	0	1
RHOE_14.01_2004_12	RHOE_14.01	2004-12-15	0	1
RHOE_14.01_2004_2	RHOE_14.01	2004-02-15	0	1
RHOE_14.01_2005_1	RHOE_14.01	2005-01-15	0	1
RHOE_14.01_2005_11	RHOE_14.01	2005-11-15	3	1
RHOE_14.01_2005_12	RHOE_14.01	2005-12-15	0	1
RHOE_14.01_2005_2	RHOE_14.01	2005-02-15	0	1
RHOE_14.01_2006_1	RHOE_14.01	2006-01-15	0	1
RHOE_14.01_2006_11	RHOE_14.01	2006-11-15	5	1
RHOE_14.01_2006_12	RHOE_14.01	2006-12-15	0	1
RHOE_14.01_2006_2	RHOE_14.01	2006-02-15	0	1
RHOE_14.01_2007_1	RHOE_14.01	2007-01-15	2	1
RHOE_14.01_2007_11	RHOE_14.01	2007-11-15	2	1
RHOE_14.01_2007_12	RHOE_14.01	2007-12-15	0	1
RHOE_14.01_2007_2	RHOE_14.01	2007-02-15	26	1
RHOE_14.01_2008_1	RHOE_14.01	2008-01-15	0	1
RHOE_14.01_2008_11	RHOE_14.01	2008-11-15	1	1
RHOE_14.01_2008_12	RHOE_14.01	2008-12-15	1	1
RHOE_14.01_2008_2	RHOE_14.01	2008-02-15	0	1
RHOE_14.01_2009_1	RHOE_14.01	2009-01-15	0	1
RHOE_14.01_2009_11	RHOE_14.01	2009-11-15	0	1
RHOE_14.01_2009_12	RHOE_14.01	2009-12-15	0	1
RHOE_14.01_2009_2	RHOE_14.01	2009-02-15	0	1
RHOE_14.01_2010_1	RHOE_14.01	2010-01-15	1	1
RHOE_14.01_2010_11	RHOE_14.01	2010-11-15	6	1
RHOE_14.01_2010_12	RHOE_14.01	2010-12-15	0	1
RHOE_14.01_2010_2	RHOE_14.01	2010-02-15	1	1
RHOE_14.01_2011_1	RHOE_14.01	2011-01-15	0	1
RHOE_14.01_2011_11	RHOE_14.01	2011-11-15	11	1
RHOE_14.01_2011_12	RHOE_14.01	2011-12-15	16	1
RHOE_14.01_2011_2	RHOE_14.01	2011-02-15	0	1
RHOE_14.01_2012_1	RHOE_14.01	2012-01-15	2	1
RHOE_14.01_2012_11	RHOE_14.01	2012-11-17	18	1
RHOE_14.01_2012_12	RHOE_14.01	2012-12-15	4	1
RHOE_14.01_2012_2	RHOE_14.01	2012-02-15	0	1
RHOE_14.01_2013_1	RHOE_14.01	2013-01-12	5	1
RHOE_14.01_2013_11	RHOE_14.01	2013-11-09	47	1
RHOE_14.01_2013_12	RHOE_14.01	2013-12-14	12	1
RHOE_14.01_2013_2	RHOE_14.01	2013-02-17	0	1
RHOE_14.01_2014_1	RHOE_14.01	2014-01-04	15	1
RHOE_14.01_2014_2	RHOE_14.01	2014-02-15	11	1
RHOE_14.03_1995_1	RHOE_14.03	1995-01-15	0	1
RHOE_14.03_1995_11	RHOE_14.03	1995-11-15	8	1
RHOE_14.03_1995_12	RHOE_14.03	1995-12-15	0	1
RHOE_14.03_1996_1	RHOE_14.03	1996-01-15	0	1
RHOE_14.03_1996_11	RHOE_14.03	1996-11-15	0	1
RHOE_14.03_1996_12	RHOE_14.03	1996-12-15	2	1
RHOE_14.03_1996_2	RHOE_14.03	1996-02-15	0	1
RHOE_14.03_1997_1	RHOE_14.03	1997-01-15	0	1
RHOE_14.03_1997_11	RHOE_14.03	1997-11-15	0	1
RHOE_14.03_1997_12	RHOE_14.03	1997-12-15	0	1
RHOE_14.03_1997_2	RHOE_14.03	1997-02-15	0	1
RHOE_14.03_1998_1	RHOE_14.03	1998-01-15	0	1
RHOE_14.03_1998_11	RHOE_14.03	1998-11-15	1	1
RHOE_14.03_1998_12	RHOE_14.03	1998-12-15	0	1
RHOE_14.03_1998_2	RHOE_14.03	1998-02-15	0	1
RHOE_14.03_1999_1	RHOE_14.03	1999-01-15	0	1
RHOE_14.03_1999_11	RHOE_14.03	1999-11-15	0	1
RHOE_14.03_1999_12	RHOE_14.03	1999-12-15	0	1
RHOE_14.03_1999_2	RHOE_14.03	1999-02-15	0	1
RHOE_14.03_2000_1	RHOE_14.03	2000-01-15	0	1
RHOE_14.03_2000_11	RHOE_14.03	2000-11-15	0	1
RHOE_14.03_2000_12	RHOE_14.03	2000-12-15	1	1
RHOE_14.03_2000_2	RHOE_14.03	2000-02-15	0	1
RHOE_14.03_2001_1	RHOE_14.03	2001-01-15	2	1
RHOE_14.03_2001_11	RHOE_14.03	2001-11-15	3	1
RHOE_14.03_2001_12	RHOE_14.03	2001-12-15	3	1
RHOE_14.03_2001_2	RHOE_14.03	2001-02-15	0	1
RHOE_14.03_2002_1	RHOE_14.03	2002-01-15	0	1
RHOE_14.03_2002_11	RHOE_14.03	2002-11-15	3	1
RHOE_14.03_2002_12	RHOE_14.03	2002-12-15	0	1
RHOE_14.03_2002_2	RHOE_14.03	2002-02-15	0	1
RHOE_14.03_2003_1	RHOE_14.03	2003-01-15	0	1
RHOE_14.03_2003_11	RHOE_14.03	2003-11-15	0	1
RHOE_14.03_2003_12	RHOE_14.03	2003-12-15	0	1
RHOE_14.03_2003_2	RHOE_14.03	2003-02-15	0	1
RHOE_14.03_2004_1	RHOE_14.03	2004-01-15	0	1
RHOE_14.03_2004_11	RHOE_14.03	2004-11-15	13	1
RHOE_14.03_2004_12	RHOE_14.03	2004-12-15	2	1
RHOE_14.03_2004_2	RHOE_14.03	2004-02-15	0	1
RHOE_14.03_2005_1	RHOE_14.03	2005-01-15	0	1
RHOE_14.03_2005_11	RHOE_14.03	2005-11-15	1	1
RHOE_14.03_2005_12	RHOE_14.03	2005-12-15	7	1
RHOE_14.03_2005_2	RHOE_14.03	2005-02-15	0	1
RHOE_14.03_2006_1	RHOE_14.03	2006-01-15	3	1
RHOE_14.03_2006_11	RHOE_14.03	2006-11-15	1	1
RHOE_14.03_2006_12	RHOE_14.03	2006-12-15	0	1
RHOE_14.03_2006_2	RHOE_14.03	2006-02-15	1	1
RHOE_14.03_2007_1	RHOE_14.03	2007-01-15	0	1
RHOE_14.03_2007_11	RHOE_14.03	2007-11-15	0	1
RHOE_14.03_2007_12	RHOE_14.03	2007-12-15	2	1
RHOE_14.03_2007_2	RHOE_14.03	2007-02-15	3	1
RHOE_14.03_2008_1	RHOE_14.03	2008-01-15	0	1
RHOE_14.03_2008_11	RHOE_14.03	2008-11-15	8	1
RHOE_14.03_2008_12	RHOE_14.03	2008-12-15	0	1
RHOE_14.03_2008_2	RHOE_14.03	2008-02-15	0	1
RHOE_14.03_2009_1	RHOE_14.03	2009-01-15	0	1
RHOE_14.03_2009_11	RHOE_14.03	2009-11-15	0	1
RHOE_14.03_2009_12	RHOE_14.03	2009-12-15	0	1
RHOE_14.03_2009_2	RHOE_14.03	2009-02-15	0	1
RHOE_14.03_2010_1	RHOE_14.03	2010-01-15	0	1
RHOE_14.03_2010_11	RHOE_14.03	2010-11-15	0	1
RHOE_14.03_2010_12	RHOE_14.03	2010-12-15	0	1
RHOE_14.03_2010_2	RHOE_14.03	2010-02-15	0	1
RHOE_14.03_2011_1	RHOE_14.03	2011-01-15	0	1
RHOE_14.03_2011_11	RHOE_14.03	2011-11-15	3	1
RHOE_14.03_2011_12	RHOE_14.03	2011-12-15	0	1
RHOE_14.03_2011_2	RHOE_14.03	2011-02-15	0	1
RHOE_14.03_2012_1	RHOE_14.03	2012-01-15	0	1
RHOE_14.03_2012_11	RHOE_14.03	2012-11-18	0	1
RHOE_14.03_2012_12	RHOE_14.03	2012-12-15	0	1
RHOE_14.03_2012_2	RHOE_14.03	2012-02-15	0	1
RHOE_14.03_2013_1	RHOE_14.03	2013-01-13	0	1
RHOE_14.03_2013_11	RHOE_14.03	2013-11-09	4	1
RHOE_14.03_2013_12	RHOE_14.03	2013-12-14	2	1
RHOE_14.03_2013_2	RHOE_14.03	2013-02-17	0	1
RHOE_14.03_2014_1	RHOE_14.03	2014-01-04	2	1
RHOE_14.03_2014_2	RHOE_14.03	2014-02-15	0	1
RHOE_17.03_1994_11	RHOE_17.03	1994-11-15	6	1
RHOE_17.03_1994_12	RHOE_17.03	1994-12-15	0	1
RHOE_17.03_1995_11	RHOE_17.03	1995-11-15	18	1
RHOE_17.03_1995_12	RHOE_17.03	1995-12-15	2	1
RHOE_17.03_1995_2	RHOE_17.03	1995-02-15	0	1
RHOE_17.03_1996_1	RHOE_17.03	1996-01-15	0	1
RHOE_17.03_1996_11	RHOE_17.03	1996-11-15	0	1
RHOE_17.03_1996_12	RHOE_17.03	1996-12-15	0	1
RHOE_17.03_1996_2	RHOE_17.03	1996-02-15	0	1
RHOE_17.03_1997_1	RHOE_17.03	1997-01-15	0	1
RHOE_17.03_1997_2	RHOE_17.03	1997-02-15	0	1
RHOE_17.03_1998_1	RHOE_17.03	1998-01-15	0	1
RHOE_17.03_1998_11	RHOE_17.03	1998-11-15	0	1
RHOE_17.03_1998_12	RHOE_17.03	1998-12-15	0	1
RHOE_17.03_1999_1	RHOE_17.03	1999-01-15	0	1
RHOE_17.03_2003_1	RHOE_17.03	2003-01-15	0	1
RHOE_17.03_2004_1	RHOE_17.03	2004-01-15	0	1
RHOE_17.03_2004_12	RHOE_17.03	2004-12-15	0	1
RHOE_17.03_2005_1	RHOE_17.03	2005-01-15	0	1
RHOE_17.03_2005_2	RHOE_17.03	2005-02-15	0	1
RHOE_17.03_2006_11	RHOE_17.03	2006-11-15	0	1
RHOE_17.03_2006_12	RHOE_17.03	2006-12-15	0	1
RHOE_17.03_2007_1	RHOE_17.03	2007-01-15	2	1
RHOE_17.03_2007_2	RHOE_17.03	2007-02-15	0	1
RHOE_17.03_2008_1	RHOE_17.03	2008-01-15	0	1
RHOE_17.03_2008_11	RHOE_17.03	2008-11-15	0	1
RHOE_17.03_2008_12	RHOE_17.03	2008-12-15	0	1
RHOE_17.03_2009_1	RHOE_17.03	2009-01-15	0	1
RHOE_17.03_2009_2	RHOE_17.03	2009-02-15	1	1
RHOE_17.03_2010_1	RHOE_17.03	2010-01-15	0	1
RHOE_17.03_2012_11	RHOE_17.03	2012-11-17	0	1
RHOE_19.13_1998_11	RHOE_19.13	1998-11-15	0	1
RHOE_19.13_1998_12	RHOE_19.13	1998-12-15	0	1
RHOE_19.13_1999_11	RHOE_19.13	1999-11-15	0	1
RHOE_19.13_2000_1	RHOE_19.13	2000-01-15	0	1
RHOE_19.13_2001_11	RHOE_19.13	2001-11-15	0	1
RHOE_19.13_2001_12	RHOE_19.13	2001-12-15	0	1
RHOE_19.13_2002_1	RHOE_19.13	2002-01-15	0	1
RHOE_19.13_2002_11	RHOE_19.13	2002-11-15	0	1
RHOE_19.13_2002_12	RHOE_19.13	2002-12-15	0	1
RHOE_19.13_2002_2	RHOE_19.13	2002-02-15	0	1
RHOE_19.13_2003_1	RHOE_19.13	2003-01-15	0	1
RHOE_19.13_2003_11	RHOE_19.13	2003-11-15	0	1
RHOE_19.13_2003_12	RHOE_19.13	2003-12-15	0	1
RHOE_19.13_2003_2	RHOE_19.13	2003-02-15	0	1
RHOE_19.13_2004_1	RHOE_19.13	2004-01-15	0	1
RHOE_19.13_2004_11	RHOE_19.13	2004-11-15	0	1
RHOE_19.13_2004_12	RHOE_19.13	2004-12-15	0	1
RHOE_19.13_2004_2	RHOE_19.13	2004-02-15	0	1
RHOE_19.13_2005_1	RHOE_19.13	2005-01-15	0	1
RHOE_19.13_2005_11	RHOE_19.13	2005-11-15	0	1
RHOE_19.13_2005_12	RHOE_19.13	2005-12-15	0	1
RHOE_19.13_2005_2	RHOE_19.13	2005-02-15	0	1
RHOE_19.13_2006_1	RHOE_19.13	2006-01-15	0	1
RHOE_19.13_2006_11	RHOE_19.13	2006-11-15	0	1
RHOE_19.13_2006_12	RHOE_19.13	2006-12-15	0	1
RHOE_19.13_2006_2	RHOE_19.13	2006-02-15	0	1
RHOE_19.13_2007_1	RHOE_19.13	2007-01-15	0	1
RHOE_19.13_2007_11	RHOE_19.13	2007-11-15	0	1
RHOE_19.13_2007_12	RHOE_19.13	2007-12-15	0	1
RHOE_19.13_2007_2	RHOE_19.13	2007-02-15	0	1
RHOE_19.13_2008_1	RHOE_19.13	2008-01-15	0	1
RHOE_19.13_2008_11	RHOE_19.13	2008-11-15	3	1
RHOE_19.13_2008_12	RHOE_19.13	2008-12-15	1	1
RHOE_19.13_2008_2	RHOE_19.13	2008-02-15	0	1
RHOE_19.13_2009_1	RHOE_19.13	2009-01-15	0	1
RHOE_19.13_2009_11	RHOE_19.13	2009-11-15	0	1
RHOE_19.13_2009_12	RHOE_19.13	2009-12-15	3	1
RHOE_19.13_2009_2	RHOE_19.13	2009-02-15	0	1
RHOE_19.13_2010_1	RHOE_19.13	2010-01-15	0	1
RHOE_19.13_2010_2	RHOE_19.13	2010-02-15	0	1
RHOE_19.13_2011_11	RHOE_19.13	2011-11-15	1	1
RHOE_19.13_2011_12	RHOE_19.13	2011-12-15	0	1
RHOE_19.13_2012_1	RHOE_19.13	2012-01-15	0	1
RHOE_19.13_2012_11	RHOE_19.13	2012-11-17	7	1
RHOE_19.13_2012_12	RHOE_19.13	2012-12-15	0	1
RHOE_19.13_2012_2	RHOE_19.13	2012-02-15	0	1
RHOE_19.13_2013_1	RHOE_19.13	2013-01-12	0	1
RHOE_19.13_2013_11	RHOE_19.13	2013-11-17	0	1
RHOE_19.13_2013_12	RHOE_19.13	2013-12-14	0	1
RHOE_19.13_2013_2	RHOE_19.13	2013-02-16	0	1
RHOE_19.13_2014_1	RHOE_19.13	2014-01-18	0	1
RHOE_19.13_2014_2	RHOE_19.13	2014-02-15	0	1
RHOE_20.03_1994_11	RHOE_20.03	1994-11-15	2	1
RHOE_20.03_1994_12	RHOE_20.03	1994-12-15	0	1
RHOE_20.03_1995_1	RHOE_20.03	1995-01-15	0	1
RHOE_20.03_1995_11	RHOE_20.03	1995-11-15	0	1
RHOE_20.03_1995_12	RHOE_20.03	1995-12-15	2	1
RHOE_20.03_1995_2	RHOE_20.03	1995-02-15	0	1
RHOE_20.03_1996_1	RHOE_20.03	1996-01-15	0	1
RHOE_20.03_1996_11	RHOE_20.03	1996-11-15	0	1
RHOE_20.03_1996_12	RHOE_20.03	1996-12-15	0	1
RHOE_20.03_1996_2	RHOE_20.03	1996-02-15	0	1
RHOE_20.03_1997_1	RHOE_20.03	1997-01-15	0	1
RHOE_20.03_1997_11	RHOE_20.03	1997-11-15	0	1
RHOE_20.03_1997_12	RHOE_20.03	1997-12-15	0	1
RHOE_20.03_1997_2	RHOE_20.03	1997-02-15	0	1
RHOE_20.03_1998_1	RHOE_20.03	1998-01-15	0	1
RHOE_20.03_1998_11	RHOE_20.03	1998-11-15	0	1
RHOE_20.03_1998_12	RHOE_20.03	1998-12-15	0	1
RHOE_20.03_1998_2	RHOE_20.03	1998-02-15	0	1
RHOE_20.03_1999_1	RHOE_20.03	1999-01-15	0	1
RHOE_20.03_1999_11	RHOE_20.03	1999-11-15	0	1
RHOE_20.03_1999_12	RHOE_20.03	1999-12-15	0	1
RHOE_20.03_1999_2	RHOE_20.03	1999-02-15	0	1
RHOE_20.03_2000_1	RHOE_20.03	2000-01-15	0	1
RHOE_20.03_2000_11	RHOE_20.03	2000-11-15	0	1
RHOE_20.03_2000_12	RHOE_20.03	2000-12-15	0	1
RHOE_20.03_2000_2	RHOE_20.03	2000-02-15	0	1
RHOE_20.03_2001_1	RHOE_20.03	2001-01-15	4	1
RHOE_20.03_2001_11	RHOE_20.03	2001-11-15	0	1
RHOE_20.03_2001_12	RHOE_20.03	2001-12-15	0	1
RHOE_20.03_2001_2	RHOE_20.03	2001-02-15	0	1
RHOE_20.03_2002_1	RHOE_20.03	2002-01-15	0	1
RHOE_20.03_2002_11	RHOE_20.03	2002-11-15	0	1
RHOE_20.03_2002_12	RHOE_20.03	2002-12-15	0	1
RHOE_20.03_2002_2	RHOE_20.03	2002-02-15	0	1
RHOE_20.03_2003_1	RHOE_20.03	2003-01-15	0	1
RHOE_20.03_2003_11	RHOE_20.03	2003-11-15	0	1
RHOE_20.03_2003_12	RHOE_20.03	2003-12-15	0	1
RHOE_20.03_2003_2	RHOE_20.03	2003-02-15	0	1
RHOE_20.03_2004_1	RHOE_20.03	2004-01-15	0	1
RHOE_20.03_2004_11	RHOE_20.03	2004-11-15	0	1
RHOE_20.03_2004_12	RHOE_20.03	2004-12-15	0	1
RHOE_20.03_2004_2	RHOE_20.03	2004-02-15	0	1
RHOE_20.03_2005_1	RHOE_20.03	2005-01-15	0	1
RHOE_20.03_2005_11	RHOE_20.03	2005-11-15	0	1
RHOE_20.03_2005_12	RHOE_20.03	2005-12-15	0	1
RHOE_20.03_2005_2	RHOE_20.03	2005-02-15	0	1
RHOE_20.03_2006_1	RHOE_20.03	2006-01-15	0	1
RHOE_20.03_2006_11	RHOE_20.03	2006-11-15	0	1
RHOE_20.03_2006_12	RHOE_20.03	2006-12-15	0	1
RHOE_20.03_2006_2	RHOE_20.03	2006-02-15	0	1
RHOE_20.03_2007_1	RHOE_20.03	2007-01-15	2	1
RHOE_20.03_2007_11	RHOE_20.03	2007-11-15	0	1
RHOE_20.03_2007_12	RHOE_20.03	2007-12-15	0	1
RHOE_20.03_2007_2	RHOE_20.03	2007-02-15	4	1
RHOE_20.03_2008_1	RHOE_20.03	2008-01-15	0	1
RHOE_20.03_2008_11	RHOE_20.03	2008-11-15	0	1
RHOE_20.03_2008_12	RHOE_20.03	2008-12-15	0	1
RHOE_20.03_2008_2	RHOE_20.03	2008-02-15	0	1
RHOE_20.03_2009_1	RHOE_20.03	2009-01-15	0	1
RHOE_20.03_2009_11	RHOE_20.03	2009-11-15	0	1
RHOE_20.03_2009_12	RHOE_20.03	2009-12-15	0	1
RHOE_20.03_2009_2	RHOE_20.03	2009-02-15	0	1
RHOE_20.03_2010_1	RHOE_20.03	2010-01-15	0	1
RHOE_20.03_2010_11	RHOE_20.03	2010-11-15	0	1
RHOE_20.03_2010_2	RHOE_20.03	2010-02-15	0	1
RHOE_20.03_2011_1	RHOE_20.03	2011-01-15	0	1
RHOE_20.03_2012_1	RHOE_20.03	2012-01-15	0	1
RHOE_20.03_2012_11	RHOE_20.03	2012-11-18	0	1
RHOE_20.03_2012_12	RHOE_20.03	2012-12-16	0	1
RHOE_20.03_2013_1	RHOE_20.03	2013-01-13	0	1
RHOE_20.03_2013_11	RHOE_20.03	2013-11-17	2	1
RHOE_20.03_2013_12	RHOE_20.03	2013-12-15	0	1
RHOE_20.03_2013_2	RHOE_20.03	2013-02-17	0	1
RHOE_20.03_2014_1	RHOE_20.03	2014-01-19	0	1
RHOE_20.03_2014_2	RHOE_20.03	2014-02-16	0	1
RHOE_20.05_1994_11	RHOE_20.05	1994-11-15	1	1
RHOE_20.05_1994_12	RHOE_20.05	1994-12-15	0	1
RHOE_20.05_1995_1	RHOE_20.05	1995-01-15	0	1
RHOE_20.05_1995_11	RHOE_20.05	1995-11-15	0	1
RHOE_20.05_1995_12	RHOE_20.05	1995-12-15	0	1
RHOE_20.05_1995_2	RHOE_20.05	1995-02-15	0	1
RHOE_20.05_1996_1	RHOE_20.05	1996-01-15	0	1
RHOE_20.05_1996_11	RHOE_20.05	1996-11-15	0	1
RHOE_20.05_1996_12	RHOE_20.05	1996-12-15	0	1
RHOE_20.05_1996_2	RHOE_20.05	1996-02-15	0	1
RHOE_20.05_1997_11	RHOE_20.05	1997-11-15	0	1
